epoch,acc,loss,val_acc,val_loss
0,0.29464287,1.438565914119993,0.34210526943206787,1.0986314447302568
1,0.25,1.100906559399196,0.34210526943206787,1.0961803888019763
2,0.32142857,1.0958703798907143,0.34210526943206787,1.0949170714930485
3,0.4732143,1.0882742021765028,0.31578946113586426,1.0741729736328125
4,0.49107143,1.063685655593872,0.34210526943206787,1.0612633542010659
5,0.4732143,1.044479021004268,0.3684210479259491,1.0187682007488452
6,0.4732143,1.059085073215621,0.6578947305679321,0.8973774784489682
7,0.5535714,0.869589837534087,0.34210526943206787,2.322558126951519
8,0.35714287,1.2681661801678794,0.34210526943206787,1.0910198751248812
9,0.35714287,1.0892306055341447,0.5789473652839661,1.0596570905886198
