epoch,acc,loss,val_acc,val_loss
0,0.29464287,4.840786359139851,0.31578946113586426,1.0972734752454256
1,0.3392857,1.1135413689272744,0.31578946113586426,1.0959120047719855
2,0.3482143,1.2117409195218767,0.34210526943206787,1.0995220510583175
3,0.2857143,1.1003850272723608,0.4736842215061188,1.0965479173158343
4,0.3125,1.105293678385871,0.31578946113586426,1.0958778858184814
5,0.2767857,1.1074132706437791,0.31578946113586426,1.098856913416009
6,0.2857143,1.1008997006075723,0.31578946113586426,1.0953006116967452
7,0.30357143,1.1016378530434199,0.31578946113586426,1.1003299010427374
8,0.33035713,1.0967754168169839,0.34210526943206787,1.0977182011855275
9,0.25,1.108923009463719,0.31578946113586426,1.0923472329189903
