epoch,accuracy,loss,val_accuracy,val_loss
0,0.12888889,2.6432893806033664,0.15466666221618652,2.5679107072618272
1,0.28207406,2.220203894862422,0.3351111114025116,1.84440949122111
2,0.5205926,1.473637287175214,0.7608888745307922,0.9554027578565809
3,0.70577776,0.8794873660140567,0.871999979019165,0.48347398201624553
4,0.8106667,0.596764289714672,0.8568888902664185,0.40829128093189665
5,0.8518519,0.4528840004514765,0.8844444155693054,0.3236320213476817
6,0.86903703,0.3834969609755057,0.9431111216545105,0.1943940880894661
7,0.89096296,0.3170208810876917,0.9537777900695801,0.17536328938272264
8,0.91555554,0.2646683465441068,0.9502221941947937,0.18004924320512347
9,0.9265185,0.2275630211830139,0.9573333263397217,0.16323293076621162
10,0.9274074,0.22692936847607295,0.9537777900695801,0.16411780027879608
11,0.9368889,0.19783783266941707,0.9591110944747925,0.15686949490673013
12,0.9354074,0.18507666097746955,0.9591110944747925,0.13301444428248538
13,0.9395555,0.179397104807474,0.9688888788223267,0.1256250820391708
14,0.95081484,0.15576513689425256,0.9564444422721863,0.15409946780237888
15,0.95111114,0.151131318156366,0.9671111106872559,0.12197243674347798
16,0.9505185,0.14389725711058687,0.9608888626098633,0.16423261291037003
17,0.9505185,0.13779682965742218,0.9688888788223267,0.12173758687451482
18,0.96148145,0.11758947328491895,0.9617778062820435,0.13384592845622037
19,0.9582222,0.11787958604318124,0.9653333425521851,0.13865242360470195
20,0.9674074,0.09664497128377358,0.9466666579246521,0.18241803876641724
21,0.96474075,0.10066175075799778,0.9662222266197205,0.1388167498757442
22,0.96533334,0.10754046465511675,0.9173333048820496,0.300424009900954
23,0.9718518,0.08509933489133363,0.9599999785423279,0.16348678886683451
24,0.9677037,0.08548938967977408,0.9715555310249329,0.13351520022765423
25,0.97066665,0.07856138349338262,0.9733333587646484,0.12960071313557112
26,0.97481483,0.07590255357325076,0.9688888788223267,0.13664297833637748
27,0.976,0.08189291197116728,0.9626666903495789,0.14510910182829118
28,0.97837037,0.061252352930260476,0.9715555310249329,0.13290934332180768
29,0.9825185,0.05415435877732105,0.9742222428321838,0.1320738479707183
30,0.984,0.051775086024017244,0.9742222428321838,0.13093525416398835
31,0.9863704,0.046633857445170485,0.9742222428321838,0.13617360145047616
32,0.97837037,0.057339505826778436,0.9733333587646484,0.13237964079340195
33,0.981037,0.049376694003327025,0.9760000109672546,0.12636252680741664
34,0.97896296,0.056205374498989574,0.9706666469573975,0.13200940475825013
35,0.98370373,0.048498009191136116,0.9715555310249329,0.13448990961122845
36,0.9854815,0.04189564796682033,0.9724444150924683,0.13425490146489918
37,0.9860741,0.04681119692822298,0.9733333587646484,0.1382497515922619
38,0.9816296,0.057413061006270624,0.9733333587646484,0.13802997539505465
39,0.9816296,0.04666421478045069,0.9733333587646484,0.13822586229885928
