id	filename	md5	size	state
016f3cc3-0aa7-4a0d-bbf5-67fa6f9c75c2	7cb874e2-6e35-4f1e-b340-2ab8a261e0b5.FPKM-UQ.txt.gz	d2c5ba4aa45b281671337d2ca53c3a27	532645	validated
03a95d6a-6f10-4a73-8e51-e4de077a69a5	4b69ca83-6fa9-4e5c-912b-5f820d0a4c29.FPKM-UQ.txt.gz	4256c16b4039d4a453784c4d6491db71	529682	validated
04b83e7c-77f9-4580-95bd-7d68c304d1c9	130f42ba-a149-48bd-a91b-2dbf1e6fad97.FPKM-UQ.txt.gz	ab080ff1fd54aca3257c56007236a377	533483	validated
05faa6cb-6abe-4504-83a4-6121002ecfd6	702f5f23-47cb-49bd-ac6c-eb9eca14f028.FPKM-UQ.txt.gz	7f83517ae452f992327cdf71a2e04318	535081	validated
0637f1ad-0c00-40c5-b5d1-df15c123c2a3	bf09f1fe-5f5d-4262-9159-5ec62f86294e.FPKM-UQ.txt.gz	437d88dc9cb4b9efc0d3dde9258d7c95	507020	validated
067edc91-0add-4c3a-9bd8-61eef9c8484c	92e4e583-3efe-4144-9247-eaad758b0944.FPKM-UQ.txt.gz	55c5ffda48d124d8942d3fa40f7ce1f2	531602	validated
06810cc0-ce09-49c5-bb15-34ec90dd8256	fab3ebf2-26ef-4710-a180-0bce4abc4c88.FPKM-UQ.txt.gz	7e1a59abda0b83db6d07b6d28cab0284	503765	validated
08e0c534-a931-475a-ac0c-39644d0b83d3	f1af55bb-21e4-473b-ad35-906fdc6a7cf5.FPKM-UQ.txt.gz	64306d6d32b44802ee9a89a0b3e3cf06	515095	validated
09f200c1-64c9-41a1-8987-4a2c386e5ac4	61f2d13b-a11b-48e2-ab4b-84ca27d54eb2.FPKM-UQ.txt.gz	db09df7335d9267d9ae59ec9080fde4b	524034	validated
0b6c9346-d974-4b41-9892-84b2602f0f19	b4661ac5-95c7-450e-8797-b2dbe04ad1ee.FPKM-UQ.txt.gz	562d043296f4ce4f53a84a54d5f09b99	489513	validated
0bf044f3-db1e-4508-9153-7331f1476966	2d683c1f-3a48-4bb8-84f9-bad6347c008b.FPKM-UQ.txt.gz	d50c27daf1fcbe5f4f645f1b1f8c6f0c	531977	validated
0e4f7811-8512-4a35-a6e7-d464c67a69e0	f6626346-5373-4530-8fcc-42121f6ced16.FPKM-UQ.txt.gz	80d3b858f1692874f1c507177cf72612	506625	validated
