id	filename	md5	size	state
00086b37-ad3a-4e4b-b44d-ea0cc657f48b	bdc49eae-31d4-425b-b7d1-49f1cf14df44.FPKM-UQ.txt.gz	a26913ae01c41c8a69661573f201df88	515966	validated
00378c66-dd81-40f9-a0a9-4db0e653c88e	93f8a606-0f7c-4c81-a398-c157a7fa2f55.FPKM-UQ.txt.gz	436c2f88fc56f7effbd749454132a039	468252	validated
00a3cb6f-7d12-40ab-8c77-b840ee7258d7	4f317009-8ba2-40aa-b795-9f4a91ceb982.FPKM-UQ.txt.gz	78c073bcd6848b8a9039e5aa33083c77	505830	validated
00a988e4-1d46-44a9-930f-6af872301f35	3963e642-4d9f-47a1-bf0e-83462bcb7b13.FPKM-UQ.txt.gz	fda61218056d4b04dd2cabf201244f17	498039	validated
00c1d4f0-338b-43cf-9779-a629f37665b3	9f7d2a09-038f-4a98-85c9-652bdbcc9d33.FPKM-UQ.txt.gz	fdb4ffa1d2fc49971435d68997c3a65e	504428	validated
00ece55a-c86c-41ed-8a5d-67720799970a	0fef447c-5f07-4299-b602-2b6b8450c6e6.FPKM-UQ.txt.gz	1af84b3611cbf065f3ddd3c17180fdfb	529626	validated
0126dee0-99f9-43cd-8981-a0373d4ba296	cfb40dba-37a7-4ae7-a2c9-34becc30f939.FPKM-UQ.txt.gz	82f6ee1be67068609ec91f460b69cdd4	489079	validated
015fda33-492e-48a8-986b-7258747dec99	f35e503d-eef5-4ecd-979c-91ba4c585402.FPKM-UQ.txt.gz	e187c91f79273c01b30afebf8e6a06c5	545212	validated
017e401c-6208-47d2-80eb-025a6b70decb	98f08602-3393-436d-81d4-447ec38444b5.FPKM-UQ.txt.gz	78ea1394527a3038cf616abdf059ae0f	509739	validated
01f9f84b-0cb6-4389-93c2-bb20feba3bd9	893b3d26-863d-4b30-8ed5-a3174e7eb334.FPKM-UQ.txt.gz	a474d1fb572da6f38ec5f8d3cf7b740f	499396	validated
021e49e0-758c-4f07-8b68-dc447b373d3d	559fe14a-1ebb-45bd-9fc7-2ccd5a3414e9.FPKM-UQ.txt.gz	6b76e90f31c2109bea1370de9ed045c2	547605	validated
0225d759-bc79-42a8-b884-34ae67cfebd2	9e2a71b9-8f43-4fef-8fa6-ef4113521903.FPKM-UQ.txt.gz	1620e7e7b152aacecdbc1e095752edbd	527748	validated
0242c20c-527c-4962-862b-1e3026b47908	47caf079-95ad-4c12-b8cf-fb333f72900d.FPKM-UQ.txt.gz	ce03822fd2d9ebc0da27dd0f4960cacb	489890	validated
